nama_tim,logo
Liverpool,premier_league/assets/Liverpool.png
Arsenal,premier_league/assets/Arsenal.png
Nottingham Forest,premier_league/assets/Nottingham Forest.png
Chelsea,premier_league/assets/Chelsea.png
Newcastle United,premier_league/assets/Newcastle United.png
Manchester City,premier_league/assets/Manchester City.png
AFC Bournemouth,premier_league/assets/AFC Bournemouth.png
Fulham,premier_league/assets/Fulham.png
Aston Villa,premier_league/assets/Aston Villa.png
Brighton & Hove Albion,premier_league/assets/Brighton & Hove Albion.png
Tottenham Hotspur,premier_league/assets/Tottenham Hotspur.png
Brentford,premier_league/assets/Brentford.png
West Ham United,premier_league/assets/West Ham United.png
Manchester United,premier_league/assets/Manchester United.png
Crystal Palace,premier_league/assets/Crystal Palace.png
Everton,premier_league/assets/Everton.png
Wolverhampton Wanderers,premier_league/assets/Wolverhampton Wanderers.png
Ipswich Town,premier_league/assets/Ipswich Town.png
Leicester City,premier_league/assets/Leicester City.png
Southampton,premier_league/assets/Southampton.png
